team,player,track,score
[80],Wolfpack,Alpine Peak,15
[80],Wolfpack,Desert Fort,15
[80],Wolfpack,Sandstone Cliffs,8
[80],Wolfpack,Strobenz Desert Illusion,6
[80],Wolfpack,Lava Road,12
[80],Wolfpack,Starry Cityscape,6
[80],Wolfpack,Siberian Chateau,10
[80],Wolfpack,Thump Bump Forest,12
[80],Wolfpack,Glimmer Express Trains,12
[80],Wolfpack,Lost Fortress,10
[80],Wolfpack,Christmas Court,12
[80],Wolfpack,Windy Whirl,8
[80],GAMT Eric,Alpine Peak,12
[80],GAMT Eric,Desert Fort,2
[80],GAMT Eric,Sandstone Cliffs,2
[80],GAMT Eric,Strobenz Desert Illusion,3
[80],GAMT Eric,Lava Road,10
[80],GAMT Eric,Starry Cityscape,12
[80],GAMT Eric,Siberian Chateau,3
[80],GAMT Eric,Thump Bump Forest,8
[80],GAMT Eric,Glimmer Express Trains,6
[80],GAMT Eric,Lost Fortress,15
[80],GAMT Eric,Christmas Court,2
[80],GAMT Eric,Windy Whirl,15
[80],Froy,Alpine Peak,10
[80],Froy,Desert Fort,12
[80],Froy,Sandstone Cliffs,10
[80],Froy,Strobenz Desert Illusion,12
[80],Froy,Lava Road,8
[80],Froy,Starry Cityscape,3
[80],Froy,Siberian Chateau,2
[80],Froy,Thump Bump Forest,10
[80],Froy,Glimmer Express Trains,8
[80],Froy,Lost Fortress,3
[80],Froy,Christmas Court,8
[80],Froy,Windy Whirl,4
[80],Masako,Alpine Peak,6
[80],Masako,Desert Fort,10
[80],Masako,Sandstone Cliffs,3
[80],Masako,Strobenz Desert Illusion,10
[80],Masako,Lava Road,6
[80],Masako,Starry Cityscape,2
[80],Masako,Siberian Chateau,15
[80],Masako,Thump Bump Forest,4
[80],Masako,Glimmer Express Trains,4
[80],Masako,Lost Fortress,6
[80],Masako,Christmas Court,6
[80],Masako,Windy Whirl,6
[80],Lawrence (bag),Alpine Peak,0
[80],Lawrence (bag),Desert Fort,0
[80],Lawrence (bag),Sandstone Cliffs,0
[80],Lawrence (bag),Strobenz Desert Illusion,0
[80],Lawrence (bag),Lava Road,0
[80],Lawrence (bag),Starry Cityscape,1
[80],Lawrence (bag),Siberian Chateau,1
[80],Lawrence (bag),Thump Bump Forest,1
[80],Lawrence (bag),Glimmer Express Trains,0
[80],Lawrence (bag),Lost Fortress,0
[80],Lawrence (bag),Christmas Court,1
[80],Lawrence (bag),Windy Whirl,0
fr,Mini Pekka,Alpine Peak,2
fr,Mini Pekka,Desert Fort,6
fr,Mini Pekka,Sandstone Cliffs,12
fr,Mini Pekka,Strobenz Desert Illusion,4
fr,Mini Pekka,Lava Road,15
fr,Mini Pekka,Starry Cityscape,15
fr,Mini Pekka,Siberian Chateau,8
fr,Mini Pekka,Thump Bump Forest,15
fr,Mini Pekka,Glimmer Express Trains,10
fr,Mini Pekka,Lost Fortress,12
fr,Mini Pekka,Christmas Court,15
fr,Mini Pekka,Windy Whirl,12
fr,Orca,Alpine Peak,8
fr,Orca,Desert Fort,8
fr,Orca,Sandstone Cliffs,6
fr,Orca,Strobenz Desert Illusion,2
fr,Orca,Lava Road,4
fr,Orca,Starry Cityscape,4
fr,Orca,Siberian Chateau,12
fr,Orca,Thump Bump Forest,2
fr,Orca,Glimmer Express Trains,15
fr,Orca,Lost Fortress,2
fr,Orca,Christmas Court,10
fr,Orca,Windy Whirl,10
fr,chatrestriction1,Alpine Peak,3
fr,chatrestriction1,Desert Fort,4
fr,chatrestriction1,Sandstone Cliffs,15
fr,chatrestriction1,Strobenz Desert Illusion,8
fr,chatrestriction1,Lava Road,2
fr,chatrestriction1,Starry Cityscape,10
fr,chatrestriction1,Siberian Chateau,6
fr,chatrestriction1,Thump Bump Forest,6
fr,chatrestriction1,Glimmer Express Trains,2
fr,chatrestriction1,Lost Fortress,8
fr,chatrestriction1,Christmas Court,3
fr,chatrestriction1,Windy Whirl,2
fr,lord,Alpine Peak,4
fr,lord,Desert Fort,3
fr,lord,Sandstone Cliffs,4
fr,lord,Strobenz Desert Illusion,15
fr,lord,Lava Road,3
fr,lord,Starry Cityscape,8
fr,lord,Siberian Chateau,4
fr,lord,Thump Bump Forest,3
fr,lord,Glimmer Express Trains,3
fr,lord,Lost Fortress,4
fr,lord,Christmas Court,4
fr,lord,Windy Whirl,3
fr,Ford (bag),Alpine Peak,1
fr,Ford (bag),Desert Fort,1
fr,Ford (bag),Sandstone Cliffs,1
fr,Ford (bag),Strobenz Desert Illusion,1
fr,Ford (bag),Lava Road,1
fr,Ford (bag),Starry Cityscape,0
fr,Ford (bag),Siberian Chateau,0
fr,Ford (bag),Thump Bump Forest,0
fr,Ford (bag),Glimmer Express Trains,1
fr,Ford (bag),Lost Fortress,1
fr,Ford (bag),Christmas Court,0
fr,Ford (bag),Windy Whirl,1
SLAY,Keagan,Dark Matter Shrine,15
SLAY,Keagan,Siberian Chateau,15
SLAY,Keagan,SNES Bowser Castle 3,15
SLAY,Keagan,Aquadrom Stage,15
SLAY,Keagan,Superstar Dystopia,4
SLAY,Keagan,Phendrana Frostbite,2
SLAY,Keagan,Super Sky Courtyard,12
SLAY,Keagan,DS Tick-Tock Clock,8
SLAY,Keagan,The Great Apple War,8
SLAY,Keagan,Underground Sky,8
SLAY,Keagan,Spooky Swamp,2
SLAY,Mystique,Dark Matter Shrine,8
SLAY,Mystique,Siberian Chateau,12
SLAY,Mystique,SNES Bowser Castle 3,12
SLAY,Mystique,Aquadrom Stage,6
SLAY,Mystique,Superstar Dystopia,12
SLAY,Mystique,Phendrana Frostbite,6
