team,player,track,score
Albatross,dr,Fishdom Island,3
Albatross,dr,Bowser Jr.'s Fort,8
Albatross,dr,Big Nature City,4
Albatross,dr,Castle of Time,3
Albatross,dr,Halogen Highway,2
Albatross,dr,Mansion of Madness,2
Albatross,ETH4N (bag),Medieval Castlegrounds,0
Albatross,ETH4N (bag),Bowser's Termination Station,1
Albatross,ETH4N (bag),Bluster Blob Bluff,0
Albatross,ETH4N (bag),Frantic Funyard,1
Albatross,ETH4N (bag),Big Express City,1
Albatross,ETH4N (bag),DS Rainbow Road,1
Albatross,ETH4N (bag),Fishdom Island,1
Albatross,ETH4N (bag),Bowser Jr.'s Fort,0
Albatross,ETH4N (bag),Big Nature City,0
Albatross,ETH4N (bag),Castle of Time,1
Albatross,ETH4N (bag),Halogen Highway,0
Albatross,ETH4N (bag),Mansion of Madness,1
Za,Trevor,Mansion of Madness,2
Za,Trevor,DS Airship Fortress,4
Za,Trevor,Halogen Highway,12
Za,Trevor,Aqua Dungeon,10
Za,Trevor,Castle of Time,10
Za,Trevor,Obstagoon's Palace,10
